Date,Holiday Name
1/1/2015,New Year Day
1/7/2015,Guru Govind Singh Jayanti
1/14/2015,Pongal / Id- E- Milad / Makarsankranti
1/15/2015,Thiruvalluvar Day
1/23/2015,Netaji B'Day
2/4/2015,Vasant Panchmi / Saraswati Puja
2/19/2015,Shivaji Maharaj Jayanti
2/27/2015,Mahashivratri
3/17/2015,HOLI (Rangpanchmi)
3/31/2015,Gudhi padwa/ Ugdi
4/8/2015,Ram Navmi
4/13/2015,Mahavir Jayanti
4/14/2015,Ambedkar Jayanti / Bengali New Year/ Tamil New Year
4/18/2015,Good Friday
5/9/2015,Ravindranath Tagore B'day
5/14/2015,Buddha Purnima
7/30/2015,Ramzan ID
8/10/2015,Raksha Bandhan
8/18/2015,Parsi New Year / Janmasatmi Day
8/29/2015,Ganesh Chaturthi
9/7/2015,ONAM
9/8/2015,Anant Chaturthi
9/24/2015,Mahalaya Amavasya
10/1/2015,Durga Puja (Saptami)
10/2/2015,Durga Puja (Astami)
10/3/2015,Dusherra
10/4/2015,Maha Dashmi
10/5/2015,Bakri ID
10/6/2015,Ayudha Pooja
10/8/2015,Laxmi Puja 
10/22/2015,Diwali 1St Day
10/23/2015,Diwali - Kali Pujia
10/25/2015,Bhai Duj
11/1/2015,Kannada Rajustva
11/4/2015,Muhharam
11/6/2015,Guru Nanank Jayanti
11/25/2015,Christmas
1/26/2015,Republic Day
5/1/2015,May Day
8/15/2015,Independence Day
10/2/2015,Gandhi Jayanti
